Image,Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (confidence),CIEXYY,16.610944777,0.678280276851,9.19015766667,7.03639611219,0.437871396542,0.106833219528
blue-graphic-tshirt,Stucki,Nearest-colour,RGB,13.1235155481,0.0794114506643,13.3602432265,14.6903244901,1.01031506062,0.0427294373512
blue-graphic-tshirt,Stucki,Nearest-colour,CIELAB,12.1259184498,0.0701055674162,13.3074560999,15.6028430171,1.04605817795,0.0360870361328
blue-graphic-tshirt,Stucki,Nearest-colour,CIEXYY,12.6321149957,0.122276392341,16.538036358,17.8819091205,0.962187170982,0.208471298218
blue-graphic-tshirt,Stucki,Weight-driven,RGB,18.9362827848,0.787091872525,6.82705344331,6.67673713946,0.0850676372647,0.0684679150581
blue-graphic-tshirt,Stucki,Weight-driven,CIELAB,18.9362827848,0.787091872525,6.82705344331,6.67673713946,0.0850676372647,0.0650437474251
blue-graphic-tshirt,Stucki,Weight-driven,CIEXYY,18.9362827099,0.787091821256,6.82705343062,6.6767365214,0.0850676372647,0.0663408041
blue-graphic-tshirt,Stucki,Weighted-nearest (α=0.5),RGB,15.5232089531,0.461584632437,8.3843934483,6.11746078274,0.466254323721,0.0762560963631
blue-graphic-tshirt,Stucki,Weighted-nearest (α=0.5),CIELAB,18.9457988679,0.787283610082,6.82323354811,6.70537789268,0.0852038711309,0.0658396482468
blue-graphic-tshirt,Stucki,Weighted-nearest (α=0.5),CIEXYY,18.940560667,0.787231472131,6.82574575874,6.6911356943,0.0851337909698,0.0661783218384
blue-graphic-tshirt,Stucki,Softmax (α=0.5),RGB,12.2676770052,0.0810692282664,13.2328021884,14.8886696091,1.00173377991,0.0440809130669
blue-graphic-tshirt,Stucki,Softmax (α=0.5),CIELAB,12.1463627828,0.0696782584045,13.291172117,15.5441532476,1.04390656948,0.0360931754112
